processed
420.0 -1470.0 0.0 0.0 0.0 1.0 0.0 	800.0 -1470.0 0.0 0.0 0.0 1.0 0.0 	420.0 -1030.0 0.0 0.0 0.0 1.0 0.0 	800.0 -1030.0 0.0 0.0 0.0 1.0 0.0  1
2080.0 -70.0 0.0 0.0 0.0 1.0 0.0 	2280.0 -70.0 0.0 0.0 0.0 1.0 0.0 	2080.0 190.0 0.0 0.0 0.0 1.0 0.0 	2280.0 190.0 0.0 0.0 0.0 1.0 0.0  1
1620.0 -70.0 0.0 0.0 0.0 1.0 0.0 	1940.0 -70.0 0.0 0.0 0.0 1.0 0.0 	1620.0 190.0 0.0 0.0 0.0 1.0 0.0 	1940.0 190.0 0.0 0.0 0.0 1.0 0.0  1
1520.0 -310.0 0.0 0.0 0.0 1.0 0.0 	2280.0 -310.0 0.0 0.0 0.0 1.0 0.0 	1520.0 -70.0 0.0 0.0 0.0 1.0 0.0 	2280.0 -70.0 0.0 0.0 0.0 1.0 0.0  1
2120.0 -390.0 0.0 0.0 0.0 1.0 0.0 	2360.0 -390.0 0.0 0.0 0.0 1.0 0.0 	2120.0 -310.0 0.0 0.0 0.0 1.0 0.0 	2360.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
2220.0 -510.0 0.0 0.0 0.0 1.0 0.0 	2360.0 -510.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -390.0 0.0 0.0 0.0 1.0 0.0 	2360.0 -390.0 0.0 0.0 0.0 1.0 0.0  1
2040.0 -630.0 0.0 0.0 0.0 1.0 0.0 	2300.0 -630.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -510.0 0.0 0.0 0.0 1.0 0.0 	2300.0 -510.0 0.0 0.0 0.0 1.0 0.0  1
2482.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	2482.0 -570.0 0.0 0.0 0.0 1.0 0.0 	3000.0 -570.0 0.0 0.0 0.0 1.0 0.0  1
2160.0 -770.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -770.0 0.0 0.0 0.0 1.0 0.0 	2160.0 -630.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -630.0 0.0 0.0 0.0 1.0 0.0  1
1940.0 -470.0 0.0 0.0 0.0 1.0 0.0 	2100.0 -470.0 0.0 0.0 0.0 1.0 0.0 	1940.0 -310.0 0.0 0.0 0.0 1.0 0.0 	2100.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
1360.0 -470.0 0.0 0.0 0.0 1.0 0.0 	1940.0 -470.0 0.0 0.0 0.0 1.0 0.0 	1360.0 -310.0 0.0 0.0 0.0 1.0 0.0 	1940.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
2180.0 -890.0 0.0 0.0 0.0 1.0 0.0 	2420.0 -890.0 0.0 0.0 0.0 1.0 0.0 	2180.0 -770.0 0.0 0.0 0.0 1.0 0.0 	2420.0 -770.0 0.0 0.0 0.0 1.0 0.0  1
2659.682 -570.0 0.0 0.0 0.0 1.0 0.0 	3000.0 -570.0 0.0 0.0 0.0 1.0 0.0 	2659.682 450.0 0.0 0.0 0.0 1.0 0.0 	3000.0 450.0 0.0 0.0 0.0 1.0 0.0  1
1280.0 -890.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -890.0 0.0 0.0 0.0 1.0 0.0 	1280.0 -470.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -470.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 736.0 0.0 0.0 0.0 1.0 0.0 	-2872.0 736.0 0.0 0.0 0.0 1.0 0.0 	-2976.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2872.0 762.0 0.0 0.0 0.0 1.0 0.0  1
1960.0 -630.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -630.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -470.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -470.0 0.0 0.0 0.0 1.0 0.0  1
1180.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1180.0 -890.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -890.0 0.0 0.0 0.0 1.0 0.0  1
1180.0 -1450.0 0.0 0.0 0.0 1.0 0.0 	1320.0 -1450.0 0.0 0.0 0.0 1.0 0.0 	1180.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1320.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
-2872.0 736.0 0.0 0.0 0.0 1.0 0.0 	-2846.0 736.0 0.0 0.0 0.0 1.0 0.0 	-2872.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2846.0 762.0 0.0 0.0 0.0 1.0 0.0  1
200.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	200.0 -2074.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2074.0 0.0 0.0 0.0 1.0 0.0  1
1220.0 -2074.0 0.0 0.0 0.0 1.0 0.0 	1800.0 -2074.0 0.0 0.0 0.0 1.0 0.0 	1220.0 -1850.0 0.0 0.0 0.0 1.0 0.0 	1800.0 -1850.0 0.0 0.0 0.0 1.0 0.0  1
1220.0 -1850.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -1850.0 0.0 0.0 0.0 1.0 0.0 	1220.0 -1790.0 0.0 0.0 0.0 1.0 0.0 	1960.0 -1790.0 0.0 0.0 0.0 1.0 0.0  1
1220.0 -1790.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -1790.0 0.0 0.0 0.0 1.0 0.0 	1220.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -1590.0 0.0 0.0 0.0 1.0 0.0  1
-2766.0 678.0 0.0 0.0 0.0 1.0 0.0 	-2704.0 678.0 0.0 0.0 0.0 1.0 0.0 	-2766.0 690.0 0.0 0.0 0.0 1.0 0.0 	-2704.0 690.0 0.0 0.0 0.0 1.0 0.0  1
1180.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1500.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1180.0 -1450.0 0.0 0.0 0.0 1.0 0.0 	1500.0 -1450.0 0.0 0.0 0.0 1.0 0.0  1
1320.0 -1270.0 0.0 0.0 0.0 1.0 0.0 	1460.0 -1270.0 0.0 0.0 0.0 1.0 0.0 	1320.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1460.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
1460.0 -1210.0 0.0 0.0 0.0 1.0 0.0 	1660.0 -1210.0 0.0 0.0 0.0 1.0 0.0 	1460.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1660.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
1660.0 -1330.0 0.0 0.0 0.0 1.0 0.0 	1820.0 -1330.0 0.0 0.0 0.0 1.0 0.0 	1660.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1820.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
1820.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1980.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1820.0 -1090.0 0.0 0.0 0.0 1.0 0.0 	1980.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
200.0 644.0 0.0 0.0 0.0 1.0 0.0 	3000.0 644.0 0.0 0.0 0.0 1.0 0.0 	200.0 3000.0 0.0 0.0 0.0 1.0 0.0 	3000.0 3000.0 0.0 0.0 0.0 1.0 0.0  1
1980.0 -1470.0 0.0 0.0 0.0 1.0 0.0 	2060.0 -1470.0 0.0 0.0 0.0 1.0 0.0 	1980.0 -1070.0 0.0 0.0 0.0 1.0 0.0 	2060.0 -1070.0 0.0 0.0 0.0 1.0 0.0  1
1740.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1820.0 -1590.0 0.0 0.0 0.0 1.0 0.0 	1740.0 -1470.0 0.0 0.0 0.0 1.0 0.0 	1820.0 -1470.0 0.0 0.0 0.0 1.0 0.0  1
2040.0 -1790.0 0.0 0.0 0.0 1.0 0.0 	2120.0 -1790.0 0.0 0.0 0.0 1.0 0.0 	2040.0 -1570.0 0.0 0.0 0.0 1.0 0.0 	2120.0 -1570.0 0.0 0.0 0.0 1.0 0.0  1
2120.0 -1630.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -1630.0 0.0 0.0 0.0 1.0 0.0 	2120.0 -1570.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -1570.0 0.0 0.0 0.0 1.0 0.0  1
2140.0 -1570.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -1570.0 0.0 0.0 0.0 1.0 0.0 	2140.0 -1490.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -1490.0 0.0 0.0 0.0 1.0 0.0  1
2220.0 -1550.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -1550.0 0.0 0.0 0.0 1.0 0.0 	2220.0 -1410.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -1410.0 0.0 0.0 0.0 1.0 0.0  1
2060.0 -1230.0 0.0 0.0 0.0 1.0 0.0 	2280.0 -1230.0 0.0 0.0 0.0 1.0 0.0 	2060.0 -1070.0 0.0 0.0 0.0 1.0 0.0 	2280.0 -1070.0 0.0 0.0 0.0 1.0 0.0  1
2140.0 -1070.0 0.0 0.0 0.0 1.0 0.0 	2300.0 -1070.0 0.0 0.0 0.0 1.0 0.0 	2140.0 -890.0 0.0 0.0 0.0 1.0 0.0 	2300.0 -890.0 0.0 0.0 0.0 1.0 0.0  1
2320.0 -970.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -970.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -890.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -890.0 0.0 0.0 0.0 1.0 0.0  1
2380.0 -1230.0 0.0 0.0 0.0 1.0 0.0 	2460.0 -1230.0 0.0 0.0 0.0 1.0 0.0 	2380.0 -970.0 0.0 0.0 0.0 1.0 0.0 	2460.0 -970.0 0.0 0.0 0.0 1.0 0.0  1
2320.0 -1310.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -1310.0 0.0 0.0 0.0 1.0 0.0 	2320.0 -1230.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -1230.0 0.0 0.0 0.0 1.0 0.0  1
2260.0 -1410.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -1410.0 0.0 0.0 0.0 1.0 0.0 	2260.0 -1310.0 0.0 0.0 0.0 1.0 0.0 	2440.0 -1310.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	1916.373 -2540.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2516.0 0.0 0.0 0.0 1.0 0.0 	1916.373 -2516.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2516.0 0.0 0.0 0.0 1.0 0.0 	1887.089 -2516.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2486.0 0.0 0.0 0.0 1.0 0.0 	1887.089 -2486.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2486.0 0.0 0.0 0.0 1.0 0.0 	1872.394 -2486.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2452.0 0.0 0.0 0.0 1.0 0.0 	1872.394 -2452.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2452.0 0.0 0.0 0.0 1.0 0.0 	1862.116 -2452.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2426.0 0.0 0.0 0.0 1.0 0.0 	1862.116 -2426.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2426.0 0.0 0.0 0.0 1.0 0.0 	1808.870 -2426.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2350.0 0.0 0.0 0.0 1.0 0.0 	1808.870 -2350.0 0.0 0.0 0.0 1.0 0.0  1
1748.0 -2350.0 0.0 0.0 0.0 1.0 0.0 	1788.0 -2350.0 0.0 0.0 0.0 1.0 0.0 	1748.0 -2074.0 0.0 0.0 0.0 1.0 0.0 	1788.0 -2074.0 0.0 0.0 0.0 1.0 0.0  1
-984.0 114.0 0.0 0.0 0.0 1.0 0.0 	-956.0 114.0 0.0 0.0 0.0 1.0 0.0 	-984.0 182.0 0.0 0.0 0.0 1.0 0.0 	-956.0 182.0 0.0 0.0 0.0 1.0 0.0  1
-1034.0 114.0 0.0 0.0 0.0 1.0 0.0 	-984.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1034.0 142.0 0.0 0.0 0.0 1.0 0.0 	-984.0 142.0 0.0 0.0 0.0 1.0 0.0  1
-2946.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2934.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2946.0 778.0 0.0 0.0 0.0 1.0 0.0 	-2934.0 778.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2946.0 762.0 0.0 0.0 0.0 1.0 0.0 	-2976.0 798.0 0.0 0.0 0.0 1.0 0.0 	-2946.0 798.0 0.0 0.0 0.0 1.0 0.0  1
2140.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	2482.0 -2540.0 0.0 0.0 0.0 1.0 0.0 	2140.0 -2416.0 0.0 0.0 0.0 1.0 0.0 	2482.0 -2416.0 0.0 0.0 0.0 1.0 0.0  1
